date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:02	21786/21786	---MCZ	200	added ('OK')	text/html	etag:W/%225bdffac3-551a%22	http://thevectorlab.net/kryptix/blog-list.html	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/blog-list.html	(from )
13:19:03	65/65	---M--	200	added ('OK')	text/plain	etag:%225892fd62-41%22	http://thevectorlab.net/robots.txt		(from )
13:19:03	228/228	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Jan%202021%2009:48:59%20GMT	http://thevectorlab.net/kryptix/assets/img/favicon.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/favicon.png	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:04	140421/140421	---M-Z	200	added ('OK')	text/css	etag:%2222485-5696194dfea80-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/bootstrap/css/bootstrap.min.css	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:04	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5443c335cce80-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/font-awesome/css/font-awesome.min.css	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/font-awesome/css/font-awesome.min.css	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:04	9145/9145	---M-Z	200	added ('OK')	text/css	etag:%2223b9-54dfe36531600-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/bicon/css/bicon.min.css	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/bicon/css/bicon.min.css	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:04	82579/82579	---M-Z	200	added ('OK')	text/css	etag:%2214293-56b796444d240-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/animate.css	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/animate.css	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:05	3011/3011	---M-Z	200	added ('OK')	text/css	etag:%22bc3-55b6e85ceb540-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/owl/assets/owl.carousel.min.css	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/owl/assets/owl.carousel.min.css	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:05	7793/7793	---M-Z	200	added ('OK')	text/css	etag:%221e71-55b6e85ceb540-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/magnific-popup/magnific-popup.css	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/magnific-popup/magnific-popup.css	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:05	45491/45491	---M-Z	200	added ('OK')	text/css	etag:%22b1b3-579e6446d3540-gzip%22	http://thevectorlab.net/kryptix/assets/css/main.css	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/css/main.css	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:06	4405/4405	---M--	200	added ('OK')	image/png	etag:%225b029cd1-1135%22	http://thevectorlab.net/kryptix/assets/img/logo2.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/logo2.png	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:06	61218/61218	---MCZ	200	added ('OK')	text/html	etag:W/%225bdff9d4-ef22%22	http://thevectorlab.net/kryptix/landing-1-light.html	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/landing-1-light.html	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:07	24344/24344	---MCZ	200	added ('OK')	text/html	etag:W/%225bdffb09-5f18%22	http://thevectorlab.net/kryptix/blog-single.html	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/blog-single.html	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:09	1934/1934	---M--	200	added ('OK')	image/png	etag:%225aeebc0b-78e%22	http://thevectorlab.net/kryptix/assets/img/fc1.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/fc1.png	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:09	2373/2373	---M--	200	added ('OK')	image/png	etag:%225aeebc09-945%22	http://thevectorlab.net/kryptix/assets/img/fc2.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/fc2.png	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:10	1877/1877	---M--	200	added ('OK')	image/png	etag:%225aeebc02-755%22	http://thevectorlab.net/kryptix/assets/img/fc3.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/fc3.png	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:11	2831/2831	---M--	200	added ('OK')	image/png	etag:%225aeebc07-b0f%22	http://thevectorlab.net/kryptix/assets/img/fc4.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/fc4.png	(from http://thevectorlab.net/kryptix/blog-list.html)
